parceiro;grupo;metrica;label;n_obs;soma;media;mediana;std;variancia;cv_pct;minimo;maximo;amplitude;q25;q50;q75;iqr;skewness;kurtosis
Parceiro A;Grupo 1;compradores;Compradores (únicos/dia);92;9633,0;104,7065;90,0;54,294;2947,836;51,85;35,0;289,0;254,0;68,0;90,0;120,75;52,75;1,2987;1,2208
Parceiro A;Grupo 1;vendas_totais;Vendas Totais — GMV (R$);92;5605173,0;60925,7935;55446,0;32018,7264;1025198839,1327;52,55;18831,0;185913,0;167082,0;37395,0;55446,0;69887,75;32492,75;1,4913;2,7097
Parceiro A;Grupo 1;comissao;Comissão (R$);92;638135,0;6936,25;6099,0;4110,9607;16899998,2555;59,27;2071,0;22995,0;20924,0;4113,25;6099,0;7687,75;3574,5;1,8102;3,534
Parceiro A;Grupo 1;cashback;Cashback Distribuído (R$);92;233424,0;2537,2174;1920,0;2251,1508;5067679,9962;88,73;565,0;14836,0;14271,0;1492,25;1920,0;2831,0;1338,75;3,656;14,4958
Parceiro A;Grupo 1;lucro;Lucro Líquido (R$);92;404711,0;4399,0326;3932,5;2518,9186;6344950,7572;57,26;1233,0;14785,0;13552,0;2582,0;3932,5;5328,25;2746,25;1,5427;3,3282
Parceiro A;Grupo 1;roi_cashback;ROI do Cashback (vendas/cashback);92;2489,43;27,059;32,7722;7,2841;53,0584;26,92;9,9997;33,3454;23,3457;20,0013;32,7722;33,2848;13,2835;-0,5911;-1,0401
Parceiro A;Grupo 1;ticket_medio;Ticket Médio (R$);92;53894,33;585,8079;576,2115;88,6849;7865,009;15,14;392,0769;969,75;577,6731;534,3514;576,2115;630,6206;96,2692;1,0438;2,9444
Parceiro A;Grupo 2;compradores;Compradores (únicos/dia);92;10814,0;117,5435;97,0;61,4305;3773,7014;52,26;42,0;354,0;312,0;72,75;97,0;138,0;65,25;1,398;1,6981
Parceiro A;Grupo 2;vendas_totais;Vendas Totais — GMV (R$);92;6423096,0;69816,2609;58692,5;37674,8548;1419394687,4257;53,96;18858,0;230953,0;212095,0;42879,75;58692,5;82670,25;39790,5;1,4474;2,5431
Parceiro A;Grupo 2;comissao;Comissão (R$);92;728178,0;7914,9783;6456,0;4610,3982;21255771,2303;58,25;2074,0;25405,0;23331,0;4717,0;6456,0;9094,0;4377,0;1,5303;2,3387
Parceiro A;Grupo 2;cashback;Cashback Distribuído (R$);92;370659,0;4028,9022;3162,0;2664,1841;7097876,7046;66,13;943,0;15415,0;14472,0;2216,25;3162,0;4546,75;2330,5;1,9013;3,99
Parceiro A;Grupo 2;lucro;Lucro Líquido (R$);92;357519,0;3886,0761;3403,5;2048,154;4194934,7524;52,7;1131,0;12703,0;11572,0;2526,5;3403,5;4547,25;2020,75;1,4579;2,6516
